Outline,Conf,PupilDiameter,Eyelids,RectPoints_0_0,RectPoints_0_1,RectPoints_1_0,RectPoints_1_1,RectPoints_2_0,RectPoints_2_1,RectPoints_3_0,RectPoints_3_1,Size_0,Size_1,Major Axis,Minor Axis,Width,Height
0,1.0,86,0.0,605.9144287109375,728.370849609375,675.2694091796875,676.968994140625,726.5245361328125,746.1259765625,657.1695556640625,797.52783203125,86.07997131347656,86.32657623291016,86,86,86,86
0,1.0,98,0.0,578.4456787109375,672.7977905273438,662.80810546875,621.6074829101562,709.670166015625,698.8370971679688,625.3077392578125,750.0274047851562,90.33534240722656,98.67859649658203,98,90,90,98
0,1.0,87,0.0,725.7076416015625,555.18505859375,812.0784912109375,567.0504150390625,802.32763671875,638.0296630859375,715.956787109375,626.164306640625,71.6458740234375,87.18206787109375,87,71,71,87
0,0.38235294818878174,177,0.0,719.428955078125,537.18115234375,888.85888671875,589.28662109375,860.7108154296875,680.814697265625,691.2808837890625,628.709228515625,95.75860595703125,177.2610321044922,177,95,95,177
0,1.0,84,0.0,699.288818359375,550.6241455078125,782.884033203125,562.206298828125,773.335693359375,631.1221923828125,689.740478515625,619.5400390625,69.5741958618164,84.39376831054688,84,69,69,84
0,0.1666666716337204,102,0.0,753.2924194335938,588.8128662109375,852.1868286132812,617.3656005859375,843.5634155273438,647.2332763671875,744.6690063476562,618.6805419921875,31.08765983581543,102.93380737304688,102,31,31,102
0,0.3611111044883728,106,0.0,120.19679260253906,986.4585571289062,152.4900665283203,885.0220336914062,193.3804168701172,898.0398559570312,161.08714294433594,999.4763793945312,42.912513732910156,106.45292663574219,106,42,42,106
0,0.1764705926179886,68,0.0,165.35321044921875,981.1193237304688,168.00308227539062,912.7692260742188,191.5115966796875,913.6806030273438,188.86172485351562,982.0307006835938,23.526172637939453,68.40148162841797,68,23,23,68
0,1.0,88,0.0,721.5303344726562,580.724853515625,810.3560180664062,584.5677490234375,807.0496215820312,660.99462890625,718.2239379882812,657.1517333984375,76.49832916259766,88.90877532958984,88,76,76,88
0,1.0,86,0.0,712.9004516601562,570.0427856445312,796.8641967773438,589.0068969726562,781.2334594726562,658.2123413085938,697.2697143554688,639.2482299804688,70.94864654541016,86.07868957519531,86,70,70,86
0,1.0,85,0.0,721.6751708984375,551.0694580078125,805.7459716796875,568.5927734375,791.3099365234375,637.8515625,707.2391357421875,620.3282470703125,70.74734497070312,85.87761688232422,85,70,70,85
0,1.0,81,0.0,677.9375610351562,607.828857421875,759.0800170898438,619.5799560546875,749.0713500976562,688.6904296875,667.9288940429688,676.9393310546875,69.83146667480469,81.98893737792969,81,69,69,81
0,0.4000000059604645,184,0.0,689.0089111328125,1005.80859375,753.427001953125,833.121337890625,835.53076171875,863.748779296875,771.1126708984375,1036.43603515625,87.63031768798828,184.31112670898438,184,87,87,184
0,1.0,88,0.0,689.3995971679688,657.1221923828125,756.1432495117188,715.88232421875,698.7551879882812,781.0675048828125,632.0115356445312,722.307373046875,86.84750366210938,88.92398071289062,88,86,86,88
0,0.1944444477558136,152,0.0,284.040771484375,876.5949096679688,304.9471435546875,725.3811645507812,428.12249755859375,742.4110717773438,407.21612548828125,893.6248168945312,124.34701538085938,152.65211486816406,152,124,124,152
0,1.0,83,0.0,688.7527465820312,605.4185791015625,771.8828735351562,616.3616943359375,762.7788696289062,685.520751953125,679.6487426757812,674.57763671875,69.75564575195312,83.84735107421875,83,69,69,83
0,0.02777777798473835,125,0.0,232.25071716308594,976.0999755859375,297.6763000488281,869.3306884765625,388.00592041015625,924.6824951171875,322.5803527832031,1031.4517822265625,105.93988800048828,125.22062683105469,125,105,105,125
0,1.0,85,0.0,705.9322509765625,560.9992065429688,791.11474609375,566.5905151367188,786.49609375,636.9557495117188,701.3135986328125,631.3644409179688,70.51663970947266,85.36585998535156,85,70,70,85
0,0.2571428716182709,129,0.0,785.3490600585938,912.7852783203125,898.6303100585938,976.5465087890625,879.8076782226562,1009.98779296875,766.5264282226562,946.2265625,38.374595642089844,129.99281311035156,129,38,38,129
0,1.0,96,0.0,587.9254150390625,758.37890625,636.03955078125,674.382080078125,718.681640625,721.72021484375,670.5675048828125,805.717041015625,95.23978424072266,96.80097198486328,96,95,95,96
0,1.0,89,0.0,634.0945434570312,727.5236206054688,684.6038208007812,653.5585327148438,756.6016235351562,702.7244262695312,706.0923461914062,776.6895141601562,87.18352508544922,89.56576538085938,89,87,87,89
0,1.0,90,0.0,702.6944580078125,571.6526489257812,790.2821044921875,593.7861938476562,771.8360595703125,666.7815551757812,684.2484130859375,644.6480102539062,75.28993225097656,90.34098815917969,90,75,75,90
0,1.0,97,0.0,576.7156982421875,764.0155029296875,599.6944580078125,669.4986572265625,692.4490966796875,692.0489501953125,669.4703369140625,786.5657958984375,95.45643615722656,97.27001953125,97,95,95,97
0,1.0,84,0.0,719.6326904296875,554.1458129882812,803.802978515625,563.8035278320312,795.6029052734375,635.2700805664062,711.4326171875,625.6123657226562,71.93545532226562,84.72257232666016,84,71,71,84
